ref_percent,time,preftab,k,filesize
0.2,60.5244,0,-1,927989
0.4,120.423,0,-1,1855924
0.6,174.179,0,-1,2783859
0.8,296.641,0,-1,3711794
1,350.885,0,-1,4639729
0.2,76.9427,1,2,928292
0.4,157.778,1,2,1856227
0.6,247.299,1,2,2784162
0.8,344.096,1,2,3712097
1,430.148,1,2,4640032
0.2,79.1227,1,4,933159
0.4,161.231,1,4,1861094
0.6,228.759,1,4,2789029
0.8,304.232,1,4,3716964
1,379.481,1,4,4644899
0.2,75.938,1,6,1018190
0.4,147.584,1,6,1946125
0.6,231.256,1,6,2874060
0.8,316.931,1,6,3801995
1,373.56,1,6,4729930
0.2,86.1842,1,8,2465105
0.4,155.102,1,8,3413488
0.6,228.486,1,8,4348551
0.8,303.623,1,8,5278574
1,388.236,1,8,6208501
0.2,224.041,1,10,13932822
0.4,375.742,1,10,20072925
0.6,502.693,1,10,23629304
0.8,755.435,1,10,26066773
1,819.031,1,10,27990716
